"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW83,SW71,SW4,SW54,SW41,SW18,SW38,SW44,SW82,SW46,SW9,SW15,SW81,SW58,SW43,SW6,SW22,SW60,SW37,SW52,SW36,SW50,SW33,SW2,SW35,SW20,SW56,SW7,SW62,SW31,SW14,SW26,SW66,SW10,SW1,SW39,SW80,SW70,SW8,SW53,SW73,SW5,SW27,SW42,SW68,SW51,SW3,SW57,SW25,SW23,SW79,SW29,SW17,SW13,SW24,SW12,SW28,SW65,SW21,SW69,SW63,SW67,SW34,SW16,SW19,SW55,SW48,SW40,SW64,SW49,SW11";"MX_PCB_1.00u";71;"SW_Push";;;
2;"SW75,SW74,SW77,SW76";"MX_PCB_1.25u";4;"SW_Push";;;
3;"SW45,SW32";"MX_PCB_1.50u";2;"SW_Push";;;
4;"SW59,SW61";"MX_PCB_2.25u";2;"SW_Push";;;
5;"SW30";"MX_PCB_2.00u";1;"SW_Push";;;
6;"SW78";"Stabilizer_Cherry_MX_6.25u";1;"SW_Push";;;
7;"SW47";"MX_PCB_1.75u";1;"SW_Push";;;
8;"SW72";"MX_PCB_2.75u";1;"SW_Push";;;
9;"D52,D35,D94,D61,D90,D29,D97,D47,D23,D51,D63,D43,D26,D22,D38,D105,D67,D30,D17,D15,D19,D10,D69,D34,D82,D33,D39,D50,D66,D45,D77,D79,D59,D53,D64,D80,D104,D37,D73,D78,D36,D92,D65,D13,D88,D24,D20,D32,D11,D60,D44,D72,D42,D14,D12,D41,D95,D49,D16,D86,D93,D54,D27,D58,D18,D74,D31,D96,D85,D81,D28,D84,D75,D21,D56,D91,D55,D25,D57,D62,D48,D76,D46";"D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp";83;"~";;;
10;"U1";"Raspberry_Pi_Pico";1;"Raspberry_Pi_Pico";;;
