Ref,Val,Package,PosX,PosY,Rot,Side
"D10","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",121.971860,-135.065352,90.000000,bottom
"D11","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",141.021860,-135.065352,90.000000,bottom
"D12","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",160.071860,-135.065352,90.000000,bottom
"D13","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",179.121860,-135.065352,90.000000,bottom
"D14","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",198.171860,-135.065352,90.000000,bottom
"D15","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",217.221860,-135.065352,90.000000,bottom
"D16","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",236.271860,-135.065352,90.000000,bottom
"D17","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",255.321860,-135.065352,90.000000,bottom
"D18","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",274.371860,-135.065352,90.000000,bottom
"D19","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",293.421860,-135.065352,90.000000,bottom
"D20","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",312.471860,-135.065352,90.000000,bottom
"D21","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",331.521860,-135.065352,90.000000,bottom
"D22","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",350.571860,-135.065352,90.000000,bottom
"D23","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",369.621860,-135.065352,90.000000,bottom
"D24","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",388.671860,-135.065352,90.000000,bottom
"D25","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",412.484360,-135.065352,90.000000,bottom
"D26","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",121.971860,-154.115352,90.000000,bottom
"D27","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",141.021860,-154.115352,90.000000,bottom
"D28","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",160.071860,-154.115352,90.000000,bottom
"D29","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",179.121860,-154.115352,90.000000,bottom
"D30","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",198.171860,-154.115352,90.000000,bottom
"D31","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",217.221860,-154.115352,90.000000,bottom
"D32","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",236.271860,-154.115352,90.000000,bottom
"D33","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",255.321860,-154.115352,90.000000,bottom
"D34","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",274.371860,-154.115352,90.000000,bottom
"D35","~","D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp",293.421860,-154.115352,90.000000,bottom
